Story name,User want,So that,Epics,Component,Points,Notes
"S50: As a TRANSPORT AGGREGATOR, I should be able to change the status of the consignment","As a TRANSPORT AGGREGATOR, I should be able to change the status of the consignment",So that I can process my consignment,E41: Updating Consignment,Transport Aggregator,,"Status may include
   - Picked up
   - On the way
   - Delivered"
"S24: As a Transport Aggregator, I should be able to update my upi account details","As a Transport Aggregator, I should be able to update my upi account details",So that I can receive payments from my customers via UPI on a new account,E42: Payments Setup,Transport Aggregator,,
"S4: As a Transport Aggregator, I should  be able to add my upi account details","As a Transport Aggregator, I should  be able to add my upi account details

Upi account details includes: UPI ID",So that I can receive payments from my customer/conginee via UPI,E42: Payments Setup,Transport Aggregator,,
"S52: As a TRANSPORT AGGREGATOR, I should be able to receive payments from consignees using UPI for my consignment","As a TRANSPORT AGGREGATOR, I should be able to receive payments from consignee using UPI for my cnsignment",So that I can collect the receivables,E43: Accepting Payments,Transport Aggregator,,
"S55: As a TRANSPORT AGGREGATOR, I should be able to refund money to the consignee in case of cancellation","As a TRANSPORT AGGREGATOR, I should be able to refund money to the consignee in case of cancellation",So that I do not have to maintain ledgers or manually process refund transaction,E44: Processing refunds,Transport Aggregator,,
"S32: As a TRANSPORT AGGREGATOR, I should be able to delete my account","As a TRANSPORT AGGREGATOR, I should be able to delete my account",So that I can discontinue any dysfunctional union work,E48: Account Settings,Transport Aggregator,,
"S32: As a TRANSPORT AGGREGATOR, I should be able to disable my account","As a TRANSPORT AGGREGATOR, I should be able to disable my account",So that I can discontinue any dysfunctional in union,E48: Account Settings,Transport Aggregator,,
"S59: As a TRANSPORT AGGREGATOR, I should be able to generate invoice for all my online consignment","As a TRANSPORT AGGREGATOR, I should be able to generate invoice for all my online consignment",So that I can issue a govt. compliant invoice to a consignee,E52: Invoicing,Transport Aggregator,,
"S60: As a TRANSPORT AGGREGATOR, I should be able to retrieve all my invoices","As a TRANSPORT AGGREGATOR, I should be able to retrieve all my invoices",So that I can retrieve them for regulatory purpose,E52: Invoicing,Transport Aggregator,,
"S62: As a TRANSPORT AGGREGATOR, I should be able to give my consignee a QR code","As a consignee, I should be able to give my consignee a QR code",So that they can scan it and get access to my union,E54: Invite consignee to Union,Transport Aggregator,,
"S61: As a TRANSPORT AGGREGATOR, I should be able to invite consignee to my union with QR code or union id","As a TRANSPORT AGGREGATOR, I should be able to invite consignee to my union with QR code or union id",So that I can easily on board my consignee to get access to the store,E54: Invite consignee to Union,Transport Aggregator,,
